Session	Date	Start Time	End Time	Location	Presentation Order	PID-old	PID	Title	Author	Session Title	Oral(pref)	Track	Category	Length
Session 2	2023-12-08	11:00	11:15	East	1	1793	1793	Cross-Document Event Coreference Resolution on Discourse Structure	"Xinyu Chen,Sheng Xu,PEIFENG LI,Qiaoming Zhu"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	11:15	11:30	East	2	2596	2596	Anaphor Assisted Document-Level Relation Extraction	"Chonggang Lu,Richong Zhang,Kai Sun,Jaein Kim,Cunwang Zhang,Yongyi Mao"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	11:30	11:45	East	3	3306	3306	RAPL: A Relation-Aware Prototype Learning Approach for Few-Shot Document-Level Relation Extraction	"Shiao Meng,Xuming Hu,Aiwei Liu,Shuang Li,Fukun Ma,Yawen Yang,Lijie Wen"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	11:45	12:00	East	4	3546	3546	Guideline Learning for In-Context Information Extraction	"Chaoxu Pang,Yixuan Cao,Qiang Ding,Ping Luo"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	12:00	12:15	East	5	5016	5016	Preserving Knowledge Invariance: Rethinking Robustness Evaluation of Open Information Extraction	"Ji Qi,Chuchun Zhang,Xiaozhi Wang,Kaisheng Zeng,Jifan Yu,Jinxin Liu,Lei Hou,Juanzi Li,Xu Bin"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	12:15	12:30	East	6	5175	5175	Instruct and Extract: Instruction Tuning for On-Demand Information Extraction	"Yizhu Jiao,Ming Zhong,Sha Li,Ruining Zhao,Siru Ouyang,Heng Ji,Jiawei Han"	Information Extraction 1	In Person	Information Extraction 1	Main-Oral	Long
Session 2	2023-12-08	11:00	11:15	West 1	1	25	25	Multilingual Pixel Representations for Translation and Effective Cross-lingual Transfer	"Elizabeth Salesky,Neha Verma,Philipp Koehn,Matt Post"	Machine Translation	In Person	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	11:15	11:30	West 1	2	677	677	Non-autoregressive Streaming Transformer for Simultaneous Translation	"Zhengrui Ma,Shaolei Zhang,Shoutao Guo,Chenze Shao,Min Zhang,Yang Feng"	Machine Translation	In Person	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	11:30	11:45	West 1	3	2782	2782	"IMTLab: An Open-Source Platform for Building, Evaluating, and Diagnosing Interactive Machine Translation Systems"	"Xu Huang,Zhirui Zhang,Ruize Gao,Yichao Du,Lemao Liu,Guoping Huang,Shuming Shi,Jiajun Chen,Shujian Huang"	Machine Translation	In Person	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	11:45	12:00	West 1	4	4034	4034	Integrating Language Models into Direct Speech Translation: An Inference-Time Solution to Control Gender Inflection	"Dennis Fucci,Marco Gaido,Sara Papi,Mauro Cettolo,Matteo Negri,Luisa Bentivogli"	Machine Translation	Virtually	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	12:00	12:15	West 1	5	4715	4715	Crossing the Threshold: Idiomatic Machine Translation through Retrieval Augmentation and Loss Weighting	"Emmy Liu,Aditi Chaudhary,Graham Neubig"	Machine Translation	In Person	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	12:15	12:30	West 1	6	TACL 4269	TACL-4269	Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection	"Weijia Xu, Sweta Agrawal, Eleftheria Briakou, Marianna Martindale, Marine Carpuat"	Machine Translation	In Person	Machine Translation	Main-Oral	Long
Session 2	2023-12-08	11:00	11:15	West 2	1	1028	1028	Towards Interpretable Mental Health Analysis with Large Language Models	"Kailai Yang,Shaoxiong Ji,Tianlin Zhang,Qianqian Xie,Ziyan Kuang,Sophia Ananiadou"	Computational Social Science and Cultural Analytics	In Person	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	11:15	11:30	West 2	2	1285	1285	"A Diachronic Analysis of Paradigm Shifts in NLP Research: When, How, and Why?"	"Aniket Pramanick,Yufang Hou,Saif M. Mohammad,Iryna Gurevych"	Computational Social Science and Cultural Analytics	In Person	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	11:30	11:45	West 2	3	2245	2245	The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages	"Chiyu Zhang,Khai Duy Doan,Qisheng Liao,Muhammad Abdul-Mageed"	Computational Social Science and Cultural Analytics	In Person	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	11:45	12:00	West 2	4	2962	2962	Rumor Detection on Social Media with Crowd Intelligence and ChatGPT-Assisted Networks	"Chang Yang,Peng Zhang,Wenbo Qiao,Hui Gao,JiaMing Zhao"	Computational Social Science and Cultural Analytics	Virtually	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	12:00	12:15	West 2	5	5403	5403	Cultural Concept Adaptation on Multimodal Reasoning	"Zhi Li,Yin Zhang"	Computational Social Science and Cultural Analytics	In Person	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	12:15	12:30	West 2	6	ARR 8	ARR-8	Reformulating NLP tasks to Capture Longitudinal Manifestation of Language Disorders in People with Dementia.	"Dimitris Gkoumas,Matthew Purver,Maria Liakata"	Computational Social Science and Cultural Analytics	In Person	Computational Social Science and Cultural Analytics	Main-Oral	Long
Session 2	2023-12-08	11:00	11:15	West 3	1	396	396	Learning Retrieval Augmentation for Personalized Dialogue Generation	"Qiushi Huang,Shuai Fu,Xubo Liu,Wenwu Wang,Tom Ko,Yu Zhang,Lilian Tang"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 2	2023-12-08	11:15	11:30	West 3	2	1262	1262	Prompt-Based Monte-Carlo Tree Search for Goal-oriented Dialogue Policy Planning	"Xiao Yu,Maximillian Chen,Zhou Yu"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 2	2023-12-08	11:30	11:45	West 3	3	1312	1312	MADNet: Maximizing Addressee Deduction Expectation for Multi-Party Conversation Generation	"Jia-Chen Gu,Chao-Hong Tan,Caiyuan Chu,Zhen-Hua Ling,Chongyang Tao,Quan Liu,Cong Liu"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 2	2023-12-08	11:45	12:00	West 3	4	1396	1396	SODA: Million-scale Dialogue Distillation with Social Commonsense Contextualization	"Hyunwoo Kim,Jack Hessel,Liwei Jiang,Peter West,Ximing Lu,Youngjae Yu,Pei Zhou,Ronan Le Bras,Malihe Alikhani,Gunhee Kim,Maarten Sap,Yejin Choi"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 2	2023-12-08	12:00	12:15	West 3	5	1573	1573	Conversation Chronicles: Towards Diverse Temporal and Relational Dynamics in Multi-Session Conversations	"Jihyoung Jang,MinSeong Boo,Hyounghun Kim"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 2	2023-12-08	12:15	12:30	West 3	6	1915	1915	Enhancing Code-Switching for Cross-lingual SLU: A Unified View of Semantic and Grammatical Coherence	"Zhihong Zhu,Xuxin Cheng,Zhiqi Huang,Dongsheng Chen,Yuexian Zou"	Dialogue and Interactive Systems 1	In Person	Dialogue and Interactive Systems 1	Main-Oral	Long
Session 3	2023-12-08	14:00	14:15	East	1	664	664	COHESENTIA: A Novel Benchmark of Incremental versus Holistic Assessment of Coherence in Generated Texts	"Aviya Maimon,Reut Tsarfaty"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	East	2	927	927	Improving Long Document Topic Segmentation Models With Enhanced Coherence Modeling	"Hai Yu,Chong Deng,Qinglin Zhang,Jiaqing Liu,Qian Chen,Wen Wang"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	East	3	1461	1461	Improving Dialogue Discourse Parsing via Reply-to Structures of Addressee Recognition	"Yaxin FAN,Feng Jiang,PEIFENG LI,Fang Kong,Qiaoming Zhu"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	East	4	2206	2206	QUDeval: The Evaluation of Questions Under Discussion Discourse Parsing	"Yating Wu,Ritika Rajesh Mangla,Greg Durrett,Junyi Jessy Li"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	East	5	4382	4382	Seq2seq is All You Need for Coreference Resolution	"Wenzheng Zhang,Sam Wiseman,Karl Stratos"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	15:15	15:30	East	6	5725	5725	Prompt-based Logical Semantics Enhancement for Implicit Discourse Relation Recognition	"Chenxu Wang,Ping Jian,Mu Huang"	Discourse and Pragmatics	In Person	Discourse and Pragmatics	Main-Oral	Long
Session 3	2023-12-08	14:00	14:15	Central  1	1	222	222	Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements	"Jiacheng Liu,Wenya Wang,Dianzhuo Wang,Noah A. Smith,Yejin Choi,Hannaneh Hajishirzi"	Commonsense Reasoning	In Person	Commonsense Reasoning	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	Central  1	2	224	224	Crystal: Introspective Reasoners Reinforced with Self-Feedback	"Jiacheng Liu,Ramakanth Pasunuru,Hannaneh Hajishirzi,Yejin Choi,Asli Celikyilmaz"	Commonsense Reasoning	In Person	Commonsense Reasoning	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	Central  1	3	3523	3523	CRoW: Benchmarking Commonsense Reasoning in Real-World Tasks	"Mete Ismayilzada,Debjit Paul,Syrielle Montariol,Mor Geva,Antoine Bosselut"	Commonsense Reasoning	In Person	Commonsense Reasoning	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	Central  1	4	3572	3572	DialCoT Meets PPO: Decomposing and Exploring Reasoning Paths in Smaller Language Models	"Chengcheng Han,Xiaowei Du,Che Zhang,Yixin Lian,Xiang Li,Ming Gao,Baoyuan Wang"	Commonsense Reasoning	In Person	Commonsense Reasoning	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	Central  1	5	4269	4269	GD-COMET: A Geo-Diverse Commonsense Inference Model	"Mehar Bhatia,Vered Shwartz"	Commonsense Reasoning	Virtually	Commonsense Reasoning	Main-Oral	Long
