Session	Date	Start Time	End Time	Location	Section Title	Presentation Order	Session Name 	Session ID on Underline	PID	Title	Author	Length	Category	Oral (pref)
Session 2	2023-12-08	11:00	11:15	East	Information Extraction 1	1	Information Extraction 1		1793	Cross-Document Event Coreference Resolution on Discourse Structure	"Xinyu Chen,Sheng Xu,PEIFENG LI,Qiaoming Zhu"	Long	Oral 	In Person
Session 2	2023-12-08	11:15	11:30	East	Information Extraction 1	2	Information Extraction 1		2596	Anaphor Assisted Document-Level Relation Extraction	"Chonggang Lu,Richong Zhang,Kai Sun,Jaein Kim,Cunwang Zhang,Yongyi Mao"	Long	Oral 	In Person
Session 2	2023-12-08	11:30	11:45	East	Information Extraction 1	3	Information Extraction 1		3306	RAPL: A Relation-Aware Prototype Learning Approach for Few-Shot Document-Level Relation Extraction	"Shiao Meng,Xuming Hu,Aiwei Liu,Shuang Li,Fukun Ma,Yawen Yang,Lijie Wen"	Long	Oral 	In Person
Session 2	2023-12-08	11:45	12:00	East	Information Extraction 1	4	Information Extraction 1		3546	Guideline Learning for In-Context Information Extraction	"Chaoxu Pang,Yixuan Cao,Qiang Ding,Ping Luo"	Long	Oral 	In Person
Session 2	2023-12-08	12:00	12:15	East	Information Extraction 1	5	Information Extraction 1		5016	Preserving Knowledge Invariance: Rethinking Robustness Evaluation of Open Information Extraction	"Ji Qi,Chuchun Zhang,Xiaozhi Wang,Kaisheng Zeng,Jifan Yu,Jinxin Liu,Lei Hou,Juanzi Li,Xu Bin"	Long	Oral 	In Person
Session 2	2023-12-08	12:15	12:30	East	Information Extraction 1	6	Information Extraction 1		5175	Instruct and Extract: Instruction Tuning for On-Demand Information Extraction	"Yizhu Jiao,Ming Zhong,Sha Li,Ruining Zhao,Siru Ouyang,Heng Ji,Jiawei Han"	Long	Oral 	In Person
Session 2	2023-12-08	11:00	11:15	West 1	Machine Translation	1	Machine Translation		25	Multilingual Pixel Representations for Translation and Effective Cross-lingual Transfer	"Elizabeth Salesky,Neha Verma,Philipp Koehn,Matt Post"	Long	Oral 	In Person
Session 2	2023-12-08	11:15	11:30	West 1	Machine Translation	2	Machine Translation		677	Non-autoregressive Streaming Transformer for Simultaneous Translation	"Zhengrui Ma,Shaolei Zhang,Shoutao Guo,Chenze Shao,Min Zhang,Yang Feng"	Long	Oral 	In Person
Session 2	2023-12-08	11:30	11:45	West 1	Machine Translation	3	Machine Translation		2782	"IMTLab: An Open-Source Platform for Building, Evaluating, and Diagnosing Interactive Machine Translation Systems"	"Xu Huang,Zhirui Zhang,Ruize Gao,Yichao Du,Lemao Liu,Guoping Huang,Shuming Shi,Jiajun Chen,Shujian Huang"	Long	Oral 	In Person
Session 2	2023-12-08	11:45	12:00	West 1	Machine Translation	4	Machine Translation		4034	Integrating Language Models into Direct Speech Translation: An Inference-Time Solution to Control Gender Inflection	"Dennis Fucci,Marco Gaido,Sara Papi,Mauro Cettolo,Matteo Negri,Luisa Bentivogli"	Long	Oral 	Virtually
Session 2	2023-12-08	12:00	12:15	West 1	Machine Translation	5	Machine Translation		4715	Crossing the Threshold: Idiomatic Machine Translation through Retrieval Augmentation and Loss Weighting	"Emmy Liu,Aditi Chaudhary,Graham Neubig"	Long	Oral 	In Person
Session 2	2023-12-08	12:15	12:30	West 1	Machine Translation	6	Machine Translation		TACL 4269	Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection	"Weijia Xu, Sweta Agrawal, Eleftheria Briakou, Marianna Martindale, Marine Carpuat"	Long	Oral 	In Person
Session 2	2023-12-08	11:00	11:15	West 2	Computational Social Science and Cultural Analytics	1	Computational Social Science and Cultural Analytics		1028	Towards Interpretable Mental Health Analysis with Large Language Models	"Kailai Yang,Shaoxiong Ji,Tianlin Zhang,Qianqian Xie,Ziyan Kuang,Sophia Ananiadou"	Long	Oral 	In Person
Session 2	2023-12-08	11:15	11:30	West 2	Computational Social Science and Cultural Analytics	2	Computational Social Science and Cultural Analytics		1285	"A Diachronic Analysis of Paradigm Shifts in NLP Research: When, How, and Why?"	"Aniket Pramanick,Yufang Hou,Saif M. Mohammad,Iryna Gurevych"	Long	Oral 	In Person
Session 2	2023-12-08	11:30	11:45	West 2	Computational Social Science and Cultural Analytics	3	Computational Social Science and Cultural Analytics		2245	The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages	"Chiyu Zhang,Khai Duy Doan,Qisheng Liao,Muhammad Abdul-Mageed"	Long	Oral 	In Person
Session 2	2023-12-08	11:45	12:00	West 2	Computational Social Science and Cultural Analytics	4	Computational Social Science and Cultural Analytics		2962	Rumor Detection on Social Media with Crowd Intelligence and ChatGPT-Assisted Networks	"Chang Yang,Peng Zhang,Wenbo Qiao,Hui Gao,JiaMing Zhao"	Long	Oral 	Virtually
Session 2	2023-12-08	12:00	12:15	West 2	Computational Social Science and Cultural Analytics	5	Computational Social Science and Cultural Analytics		5403	Cultural Concept Adaptation on Multimodal Reasoning	"Zhi Li,Yin Zhang"	Long	Oral 	In Person
Session 2	2023-12-08	12:15	12:30	West 2	Computational Social Science and Cultural Analytics	6	Computational Social Science and Cultural Analytics		ARR 8	Reformulating NLP tasks to Capture Longitudinal Manifestation of Language Disorders in People with Dementia.	"Dimitris Gkoumas,Matthew Purver,Maria Liakata"	Long	Oral 	In Person
Session 2	2023-12-08	11:00	11:15	West 3	Dialogue and Interactive Systems 1	1	Dialogue and Interactive Systems 1		396	Learning Retrieval Augmentation for Personalized Dialogue Generation	"Qiushi Huang,Shuai Fu,Xubo Liu,Wenwu Wang,Tom Ko,Yu Zhang,Lilian Tang"	Long	Oral 	In Person
Session 2	2023-12-08	11:15	11:30	West 3	Dialogue and Interactive Systems 1	2	Dialogue and Interactive Systems 1		1262	Prompt-Based Monte-Carlo Tree Search for Goal-oriented Dialogue Policy Planning	"Xiao Yu,Maximillian Chen,Zhou Yu"	Long	Oral 	In Person
Session 2	2023-12-08	11:30	11:45	West 3	Dialogue and Interactive Systems 1	3	Dialogue and Interactive Systems 1		1312	MADNet: Maximizing Addressee Deduction Expectation for Multi-Party Conversation Generation	"Jia-Chen Gu,Chao-Hong Tan,Caiyuan Chu,Zhen-Hua Ling,Chongyang Tao,Quan Liu,Cong Liu"	Long	Oral 	In Person
Session 2	2023-12-08	11:45	12:00	West 3	Dialogue and Interactive Systems 1	4	Dialogue and Interactive Systems 1		1396	SODA: Million-scale Dialogue Distillation with Social Commonsense Contextualization	"Hyunwoo Kim,Jack Hessel,Liwei Jiang,Peter West,Ximing Lu,Youngjae Yu,Pei Zhou,Ronan Le Bras,Malihe Alikhani,Gunhee Kim,Maarten Sap,Yejin Choi"	Long	Oral 	In Person
Session 2	2023-12-08	12:00	12:15	West 3	Dialogue and Interactive Systems 1	5	Dialogue and Interactive Systems 1		1573	Conversation Chronicles: Towards Diverse Temporal and Relational Dynamics in Multi-Session Conversations	"Jihyoung Jang,MinSeong Boo,Hyounghun Kim"	Long	Oral 	In Person
Session 2	2023-12-08	12:15	12:30	West 3	Dialogue and Interactive Systems 1	6	Dialogue and Interactive Systems 1		1915	Enhancing Code-Switching for Cross-lingual SLU: A Unified View of Semantic and Grammatical Coherence	"Zhihong Zhu,Xuxin Cheng,Zhiqi Huang,Dongsheng Chen,Yuexian Zou"	Long	Oral 	In Person
Session 3	2023-12-08	14:00	14:15	East	Discourse and Pragmatics	1	Discourse and Pragmatics		664	COHESENTIA: A Novel Benchmark of Incremental versus Holistic Assessment of Coherence in Generated Texts	"Aviya Maimon,Reut Tsarfaty"	Long	Oral 	In Person
Session 3	2023-12-08	14:15	14:30	East	Discourse and Pragmatics	2	Discourse and Pragmatics		927	Improving Long Document Topic Segmentation Models With Enhanced Coherence Modeling	"Hai Yu,Chong Deng,Qinglin Zhang,Jiaqing Liu,Qian Chen,Wen Wang"	Long	Oral 	In Person
Session 3	2023-12-08	14:30	14:45	East	Discourse and Pragmatics	3	Discourse and Pragmatics		1461	Improving Dialogue Discourse Parsing via Reply-to Structures of Addressee Recognition	"Yaxin FAN,Feng Jiang,PEIFENG LI,Fang Kong,Qiaoming Zhu"	Long	Oral 	In Person
Session 3	2023-12-08	14:45	15:00	East	Discourse and Pragmatics	4	Discourse and Pragmatics		2206	QUDeval: The Evaluation of Questions Under Discussion Discourse Parsing	"Yating Wu,Ritika Rajesh Mangla,Greg Durrett,Junyi Jessy Li"	Long	Oral 	In Person
Session 3	2023-12-08	15:00	15:15	East	Discourse and Pragmatics	5	Discourse and Pragmatics		4382	Seq2seq is All You Need for Coreference Resolution	"Wenzheng Zhang,Sam Wiseman,Karl Stratos"	Long	Oral 	In Person
Session 3	2023-12-08	15:15	15:30	East	Discourse and Pragmatics	6	Discourse and Pragmatics		5725	Prompt-based Logical Semantics Enhancement for Implicit Discourse Relation Recognition	"Chenxu Wang,Ping Jian,Mu Huang"	Long	Oral 	In Person
Session 3	2023-12-08	14:00	14:15	Central  1	Commonsense Reasoning	1	Commonsense Reasoning		222	Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements	"Jiacheng Liu,Wenya Wang,Dianzhuo Wang,Noah A. Smith,Yejin Choi,Hannaneh Hajishirzi"	Long	Oral 	In Person
Session 3	2023-12-08	14:15	14:30	Central  1	Commonsense Reasoning	2	Commonsense Reasoning		224	Crystal: Introspective Reasoners Reinforced with Self-Feedback	"Jiacheng Liu,Ramakanth Pasunuru,Hannaneh Hajishirzi,Yejin Choi,Asli Celikyilmaz"	Long	Oral 	In Person
Session 3	2023-12-08	14:30	14:45	Central  1	Commonsense Reasoning	3	Commonsense Reasoning		3523	CRoW: Benchmarking Commonsense Reasoning in Real-World Tasks	"Mete Ismayilzada,Debjit Paul,Syrielle Montariol,Mor Geva,Antoine Bosselut"	Long	Oral 	In Person
